Student_id,english_marks,maths_marks,science_marks,computer_marks,course
S00093,100,73,84,98,AI
S00094,92,88,98,60,Mathematics for machine learning
S00095,65,100,92,87,AI
S00096,60,72,72,79,AI
S00097,77,60,77,70,python
S00098,86,92,84,100,AI
S00099,60,68,87,78,Mathematics for machine learning
S00100,86,91,79,94,AI
S00101,78,69,79,75,Web Development
S00102,84,61,97,68,python
S00103,75,97,91,75,AI
S00104,81,73,66,76,AI
S00105,100,73,78,63,Mathematics for machine learning
S00106,78,74,98,67,Mathematics for machine learning
S00107,98,76,99,72,AI
S00108,62,90,96,97,AI
S00109,84,92,84,80,AI
S00110,97,64,93,85,AI
S00111,60,72,99,97,AI
S00112,86,96,82,64,Mathematics for machine learning
S00113,99,91,61,83,AI
S00114,70,65,71,70,python
S00115,60,61,82,95,python
S00116,89,61,84,95,Web Development
S00117,63,77,70,98,AI
S00118,95,65,77,60,python
S00119,73,86,100,79,python
S00120,67,89,61,68,python
S00121,96,78,66,83,AI
S00122,82,95,71,64,Mathematics for machine learning
S00123,93,85,68,76,AI
S00124,99,94,73,77,AI
S00125,97,98,74,90,Web Development
S00126,65,78,77,67,Mathematics for machine learning
S00127,91,70,84,78,Web Development
S00128,90,76,95,70,Mathematics for machine learning
S00129,94,86,77,77,AI
S00130,85,95,62,75,AI
S00131,77,62,88,68,python
S00132,77,94,89,95,AI
S00133,85,67,62,62,python
S00134,77,65,63,95,Web Development
S00135,85,93,63,94,AI
S00136,99,99,61,79,python
S00137,74,100,74,71,AI
S00138,61,69,99,77,Mathematics for machine learning
S00139,100,98,99,68,Mathematics for machine learning
S00140,63,70,61,69,python
S00141,96,87,73,79,AI
S00142,76,61,79,97,python
S00143,78,91,61,82,AI
S00144,72,97,80,94,python
S00145,100,83,90,73,AI
S00146,81,81,82,97,AI
S00147,89,97,97,85,AI
S00148,98,74,82,80,AI
S00149,81,63,79,64,python
S00150,82,78,76,70,Mathematics for machine learning
S00151,76,85,83,70,Mathematics for machine learning
S00152,72,65,74,87,Web Development
S00153,78,100,79,98,AI
S00154,61,60,97,62,python
S00155,95,85,85,66,Mathematics for machine learning
S00156,64,68,74,92,python
S00157,88,97,90,89,AI
S00158,70,68,83,74,python
S00159,97,70,83,84,Web Development
S00160,73,70,74,85,Web Development
S00161,74,67,73,69,python
S00162,64,98,96,88,AI
S00163,63,63,82,82,python
S00164,82,83,74,61,Mathematics for machine learning
S00165,70,95,74,63,Mathematics for machine learning
S00166,80,70,87,70,python
S00167,92,70,70,89,Web Development
S00168,98,87,94,93,AI
S00169,66,68,88,66,python
S00170,85,65,87,88,Web Development
S00171,63,62,74,67,python
S00172,72,80,76,77,python
S00173,71,93,78,85,AI
S00174,68,90,78,80,AI
S00175,74,93,67,69,Web Development
S00176,97,74,96,85,AI
S00177,100,84,62,76,AI
S00178,82,72,72,87,AI
S00179,85,66,76,61,python
S00180,97,85,91,81,AI
S00181,70,61,74,90,Web Development
S00182,99,89,66,84,python
S00183,65,94,78,93,AI
S00184,84,89,100,71,AI
S00185,90,86,83,67,Mathematics for machine learning
S00186,60,74,77,65,Mathematics for machine learning
S00187,62,93,98,93,AI
S00188,62,61,94,61,python
S00189,74,89,92,75,Mathematics for machine learning
S00190,70,67,68,81,python
S00191,87,89,91,71,AI
S00192,66,77,68,88,AI
S00193,83,62,98,74,Web Development
S00194,94,77,77,93,AI
S00195,65,72,76,99,AI
S00196,86,62,84,71,Web Development
S00197,90,63,69,60,python
S00198,61,74,94,94,AI
S00199,79,100,90,73,AI
S00200,94,75,73,62,python
S00201,72,77,86,99,AI
S00202,80,69,99,69,python
S00203,62,64,85,64,python
S00204,73,61,80,77,Web Development
S00205,97,77,99,67,Mathematics for machine learning
S00206,94,84,90,77,AI
S00207,60,74,99,92,AI
S00208,66,89,78,79,AI
S00209,72,64,68,92,Web Development
S00210,60,90,62,80,AI
S00211,66,93,96,97,AI
S00212,89,96,84,72,AI
S00213,70,94,75,64,Mathematics for machine learning
S00214,67,90,67,68,AI
S00215,97,82,81,85,AI
S00216,79,62,94,71,Web Development
S00217,66,76,75,97,AI
S00218,97,79,66,87,AI
S00219,64,62,98,61,python
S00220,86,62,85,94,Web Development
S00221,61,65,70,69,python
S00222,72,62,87,79,Web Development
S00223,62,75,86,93,AI
S00224,86,95,95,82,AI
S00225,84,66,71,86,Web Development
S00226,87,80,64,75,AI
S00227,66,81,62,84,AI
S00228,94,61,80,63,python
S00229,73,85,61,70,python
S00230,72,89,60,76,AI
S00231,73,83,62,98,AI
S00232,93,71,98,67,Mathematics for machine learning
S00233,76,64,88,84,Web Development
S00234,92,87,71,69,Mathematics for machine learning
S00235,87,72,62,76,AI
S00236,94,96,62,70,python
S00237,80,88,66,92,Mathematics for machine learning
S00238,90,74,62,96,AI
S00239,79,85,69,67,python
S00240,65,97,62,75,AI
S00241,78,91,90,83,AI
S00242,90,88,96,92,Web Development
S00243,95,74,72,98,Web Development
S00244,80,68,100,64,python
S00245,66,76,76,71,AI
S00246,83,74,84,97,AI
S00247,61,99,67,64,AI
S00248,91,95,67,95,AI
S00249,86,100,73,67,Mathematics for machine learning
S00250,70,63,89,83,Mathematics for machine learning
S00251,72,74,94,73,AI
S00252,90,85,82,73,AI
S00253,91,83,66,76,Mathematics for machine learning
S00254,66,76,76,70,Mathematics for machine learning
S00255,70,97,76,94,AI
S00256,64,79,82,87,AI
S00257,93,100,86,97,AI
S00258,69,83,82,73,AI
S00259,61,64,71,95,python
S00260,64,61,95,94,python
S00261,66,74,97,80,AI
S00262,78,73,63,68,python
S00263,72,86,93,68,Mathematics for machine learning
S00264,86,69,76,62,python
S00265,93,94,86,94,AI
S00266,64,91,69,72,AI
S00267,97,78,77,65,Mathematics for machine learning
S00268,86,72,80,94,AI
S00269,87,73,79,82,python
S00270,79,96,94,95,Mathematics for machine learning
S00271,99,61,98,94,Web Development
S00272,70,68,95,76,python
S00273,66,96,64,75,Mathematics for machine learning
S00274,68,89,81,67,Mathematics for machine learning
S00275,78,84,88,91,python
S00276,98,87,84,62,Mathematics for machine learning
S00277,82,85,70,69,python
S00278,76,98,98,74,python
S00279,95,94,82,84,AI
S00280,79,79,66,65,python
S00281,83,61,95,100,Web Development
S00282,61,98,67,91,AI
S00283,94,79,61,99,AI
S00284,93,99,94,89,AI
S00285,89,94,84,78,AI
S00286,61,93,91,74,AI
S00287,92,93,71,92,AI
S00288,88,78,64,64,python
S00289,87,60,91,83,Web Development
S00290,82,62,77,91,Web Development
S00291,99,95,83,94,python
S00292,93,88,64,64,python
S00293,62,68,63,93,python
S00294,97,86,83,62,Mathematics for machine learning
S00295,67,81,85,78,AI
S00296,91,67,94,77,Web Development
S00297,90,63,93,64,python
S00298,86,84,89,83,Web Development
S00299,60,65,77,71,python
S00300,98,85,80,81,AI
S00301,90,82,62,89,AI
S00302,85,87,87,72,AI
S00303,82,78,92,63,Mathematics for machine learning
S00304,76,87,100,82,AI
S00305,83,79,100,86,AI
S00306,80,65,87,77,Web Development
S00307,71,84,77,87,AI
S00308,67,95,69,69,python
S00309,68,79,77,90,AI
S00310,94,86,89,61,Mathematics for machine learning
S00311,67,89,61,85,AI
S00312,90,61,97,62,python
S00313,84,60,76,82,Web Development
S00314,85,78,73,98,AI
S00315,93,90,69,76,AI
S00316,91,82,85,72,AI
S00317,83,83,76,91,AI
S00318,71,94,71,92,python
S00319,83,62,77,90,AI
S00320,61,63,68,77,python
S00321,68,94,74,84,AI
S00322,97,66,81,95,Web Development
S00323,73,79,70,82,AI
S00324,84,83,90,83,AI
S00325,68,92,77,67,Mathematics for machine learning
S00326,87,88,64,63,python
S00327,63,90,95,65,Mathematics for machine learning
S00328,79,72,79,60,Mathematics for machine learning
S00329,72,97,71,78,AI
S00330,60,83,76,65,python
S00331,81,84,89,93,AI
S00332,70,94,93,99,AI
S00333,86,75,61,88,AI
S00334,82,90,99,75,python
S00335,61,62,60,61,python
S00336,61,94,85,84,python
S00337,79,91,98,77,AI
S00338,66,66,86,89,python
S00339,81,97,93,63,Mathematics for machine learning
S00340,69,76,97,64,Mathematics for machine learning
S00341,60,92,76,67,Mathematics for machine learning
S00342,100,77,82,76,AI
S00343,66,85,84,74,AI
S00344,100,97,63,76,AI
S00345,70,80,93,88,AI
S00346,95,95,61,100,AI
S00347,60,62,100,96,python
S00348,84,91,87,77,AI
S00349,90,92,83,62,Mathematics for machine learning
S00350,68,85,67,85,python
S00351,100,84,65,92,Mathematics for machine learning
S00352,70,93,88,87,AI
S00353,89,73,84,72,AI
S00354,97,60,99,100,Web Development
S00355,76,96,66,80,python
S00356,87,75,85,95,AI
S00357,91,61,63,94,Web Development
S00358,61,94,60,60,python
S00359,81,76,95,95,AI
S00360,71,62,63,76,Web Development
S00361,81,77,73,64,Mathematics for machine learning
S00362,72,92,91,93,Web Development
S00363,99,67,96,73,Web Development
S00364,97,91,95,73,AI
S00365,74,69,92,77,Web Development
S00366,94,69,90,73,Web Development
S00367,65,100,72,62,Mathematics for machine learning
S00368,64,97,96,73,AI
S00369,80,86,62,77,Web Development
S00370,88,68,65,90,Web Development
S00371,85,85,65,66,python
S00372,88,83,86,68,Mathematics for machine learning
S00373,69,95,68,71,Mathematics for machine learning
S00374,94,100,69,88,Web Development
S00375,61,80,79,74,AI
S00376,66,88,60,66,python
S00377,67,82,68,98,AI
S00378,69,64,98,98,Mathematics for machine learning
S00379,71,64,75,79,Web Development
S00380,95,77,90,89,AI
S00381,87,91,62,99,Mathematics for machine learning
S00382,89,100,67,67,python
S00383,68,95,73,93,AI
S00384,88,71,94,77,AI
S00385,92,96,97,70,Mathematics for machine learning
S00386,71,78,73,71,Mathematics for machine learning
S00387,66,92,90,85,Web Development
S00388,62,94,79,63,Mathematics for machine learning
S00389,72,65,81,98,Web Development
S00390,64,67,64,84,python
S00391,87,70,82,72,Web Development
S00392,69,64,86,63,python
S00393,88,71,92,81,AI
S00394,75,80,100,79,python
S00395,95,93,89,83,AI
S00396,79,86,96,77,AI
S00397,91,100,86,81,AI
S00398,73,69,70,84,Web Development
S00399,81,75,76,67,Web Development
S00400,100,71,65,72,AI
S00401,76,86,67,66,python
S00402,66,83,90,79,AI
S00403,68,85,90,92,AI
S00404,63,99,100,65,python
S00405,81,63,79,100,Web Development
S00406,85,99,63,87,python
S00407,98,71,64,67,python
S00408,79,67,93,78,python
S00409,93,93,79,62,Mathematics for machine learning
S00410,92,67,87,85,Web Development
S00411,88,95,66,80,AI
S00412,73,83,65,81,python
S00413,100,83,78,66,Mathematics for machine learning
S00414,85,95,76,78,AI
S00415,66,73,90,99,python
S00416,74,75,78,93,Mathematics for machine learning
S00417,91,74,87,77,AI
S00418,81,73,65,99,AI
S00419,91,83,68,86,AI
S00420,76,71,80,82,Web Development
S00421,73,64,61,63,python
S00422,81,65,71,63,python
S00423,90,93,80,82,AI
S00424,94,64,83,88,Web Development
S00425,76,65,86,70,python
S00426,89,67,100,60,python
S00427,91,78,69,98,AI
S00428,80,68,80,96,Web Development
S00429,97,97,86,97,AI
S00430,70,77,72,71,AI
S00431,86,97,86,74,AI
S00432,67,96,72,98,AI
S00433,88,69,85,72,Web Development
S00434,89,99,88,60,Mathematics for machine learning
S00435,88,97,63,100,Web Development
S00436,60,65,83,98,python
S00437,89,75,68,78,AI
S00438,65,83,85,61,Mathematics for machine learning
S00439,67,91,89,60,Mathematics for machine learning
S00440,72,62,97,82,Web Development
S00441,95,79,62,91,AI
S00442,74,79,83,80,python
S00443,94,83,80,100,Mathematics for machine learning
S00444,95,99,90,88,AI
S00445,93,89,65,77,AI
S00446,94,74,89,95,AI
S00447,70,73,64,76,AI
S00448,75,95,61,60,python
S00449,86,83,64,73,AI
S00450,90,67,69,91,Web Development
S00451,68,69,74,94,python
S00452,74,90,67,94,AI
S00453,95,79,79,67,Mathematics for machine learning
S00454,98,83,84,70,Mathematics for machine learning
S00455,70,85,100,75,AI
S00456,89,89,77,81,AI
S00457,93,81,72,80,AI
S00458,74,88,99,60,python
S00459,94,60,81,92,Web Development
S00460,69,79,93,91,AI
S00461,96,80,96,70,Mathematics for machine learning
S00462,99,82,89,78,AI
S00463,85,67,67,95,Web Development
S00464,99,92,68,68,python
S00465,66,74,87,75,Web Development
S00466,72,64,99,92,Web Development
S00467,60,78,95,88,AI
S00468,74,72,92,64,Mathematics for machine learning
S00469,92,94,70,87,AI
S00470,82,91,94,88,AI
S00471,87,75,85,82,AI
S00472,64,72,70,69,python
S00473,90,89,91,66,Mathematics for machine learning
S00474,73,76,77,89,AI
S00475,98,80,86,71,AI
S00476,95,68,64,84,Web Development
S00477,91,66,65,73,AI
S00478,83,85,91,87,AI
S00479,82,100,64,81,AI
S00480,88,77,69,81,AI
S00481,97,85,100,66,Mathematics for machine learning
S00482,67,97,72,80,AI
S00483,79,66,73,65,python
S00484,83,75,91,88,AI
S00485,65,62,60,84,python
S00486,85,99,80,87,AI
S00487,96,84,79,78,AI
S00488,66,91,86,73,python
S00489,77,62,71,96,Web Development
S00490,98,60,60,66,Mathematics for machine learning
S00491,75,67,84,71,Web Development
S00492,64,80,85,79,AI
S00493,76,79,94,74,AI
S00494,62,66,90,66,python
S00495,70,74,74,65,Mathematics for machine learning
S00496,88,64,75,96,Web Development
S00497,94,95,95,91,AI
S00498,64,76,97,80,AI
S00499,65,76,85,72,AI
S00500,84,91,73,92,AI
S00501,77,97,90,99,AI
S00502,75,97,70,64,python
S00503,79,81,93,90,AI
S00504,90,80,65,79,AI
S00505,87,66,94,97,Web Development
S00506,84,90,81,70,Mathematics for machine learning
S00507,78,87,76,77,AI
S00508,82,77,70,65,python
S00509,91,90,98,93,python
S00510,61,73,93,87,Web Development
S00511,85,67,84,79,Web Development
S00512,99,86,77,70,Mathematics for machine learning
S00513,70,92,77,74,AI
S00514,77,69,77,81,Web Development
S00515,91,83,84,79,AI
S00516,86,98,89,75,AI
S00517,78,92,90,60,Mathematics for machine learning
S00518,72,80,86,98,AI
S00519,66,77,72,88,AI
S00520,62,85,74,93,AI
S00521,83,90,86,95,AI
S00522,99,80,98,70,Mathematics for machine learning
S00523,62,99,90,71,AI
S00524,89,66,90,87,Web Development
S00525,73,61,62,75,python
S00526,84,79,92,86,AI
S00527,73,95,70,76,AI
S00528,76,73,87,61,Mathematics for machine learning
S00529,90,78,60,96,AI
S00530,72,69,98,74,Web Development
S00531,75,85,67,82,AI
S00532,65,62,78,92,python
S00533,100,90,83,92,Web Development
S00534,86,99,77,74,AI
S00535,62,92,98,65,Mathematics for machine learning
S00536,93,63,84,65,Mathematics for machine learning
S00537,94,99,62,75,AI
S00538,86,65,96,99,Web Development
S00539,60,93,89,77,AI
S00540,94,85,65,98,AI
S00541,60,68,91,60,python
S00542,98,87,76,75,AI
S00543,70,80,95,74,AI
S00544,99,60,82,62,python
S00545,83,95,74,87,AI
S00546,69,68,88,86,python
S00547,88,70,63,95,AI
S00548,83,63,67,90,Web Development
S00549,60,79,70,78,AI
S00550,91,81,97,74,AI
S00551,76,95,96,97,AI
S00552,78,64,82,60,python
S00553,78,99,64,91,AI
S00554,90,92,90,99,AI
S00555,72,97,63,80,AI
S00556,76,98,68,94,AI
S00557,95,94,72,84,AI
S00558,95,64,77,68,python
S00559,82,83,63,70,python
S00560,91,74,76,64,Mathematics for machine learning
S00561,61,90,92,84,AI
S00562,91,87,68,62,python
S00563,83,80,67,75,AI
S00564,81,81,74,80,AI
S00565,63,64,82,63,python
S00566,67,91,85,72,python
S00567,82,70,87,93,Web Development
S00568,65,65,84,88,python
S00569,85,84,93,92,AI
S00570,68,90,81,89,python
S00571,61,61,80,69,AI
S00572,88,98,83,64,Mathematics for machine learning
S00573,84,90,78,75,AI
S00574,69,77,80,84,AI
S00575,100,91,69,75,AI
S00576,76,83,99,73,AI
S00577,80,80,61,92,AI
S00578,79,76,93,94,AI
S00579,71,68,74,85,Web Development
S00580,74,63,93,91,Web Development
S00581,79,100,90,61,AI
S00582,90,72,68,60,python
S00583,67,99,96,79,AI
S00584,62,61,95,94,python
S00585,65,92,64,68,AI
S00586,78,95,83,62,Mathematics for machine learning
S00587,84,82,88,60,Mathematics for machine learning
S00588,66,90,90,60,Mathematics for machine learning
S00589,71,96,86,98,AI
S00590,87,64,90,91,Web Development
S00591,80,73,64,92,Mathematics for machine learning
S00592,83,76,100,78,AI
S00593,61,65,76,69,AI
S00594,83,65,73,80,Web Development
S00595,77,92,87,80,AI
S00596,95,72,89,64,Mathematics for machine learning
S00597,65,82,84,85,AI
S00598,80,66,77,100,Web Development
S00599,61,86,99,85,AI
S00600,91,88,70,80,AI
S00601,81,77,62,89,AI
S00602,67,69,82,83,python
S00603,77,100,90,88,AI
S00604,69,67,90,67,python
S00605,96,100,71,83,AI
S00606,68,86,73,71,AI
S00607,88,90,78,95,AI
S00608,80,67,72,81,Web Development
S00609,91,81,91,73,AI
S00610,66,77,84,67,Mathematics for machine learning
S00611,65,82,76,79,AI
S00612,60,87,94,71,AI
S00613,92,94,77,65,Mathematics for machine learning
S00614,78,95,64,64,python
S00615,97,98,87,61,Mathematics for machine learning
S00616,65,70,76,61,python
S00617,70,100,93,89,AI
S00618,95,70,83,74,Web Development
S00619,69,65,67,77,python
S00620,95,84,97,87,AI
S00621,81,82,61,77,AI
S00622,63,92,86,98,AI
S00623,94,68,93,76,Web Development
S00624,92,61,81,67,python
S00625,78,75,80,97,AI
S00626,82,73,62,98,AI
S00627,84,91,88,69,AI
S00628,98,74,78,61,Mathematics for machine learning
S00629,67,67,65,78,python
S00630,66,91,71,96,AI
S00631,67,65,83,63,python
S00632,98,65,93,95,Web Development
S00633,85,77,76,72,AI
S00634,76,94,89,74,AI
S00635,98,86,92,96,AI
S00636,75,65,92,73,python
S00637,92,60,97,89,Web Development
S00638,77,86,76,61,Mathematics for machine learning
S00639,96,91,74,88,AI
S00640,75,66,77,99,Web Development
S00641,83,62,91,94,Web Development
S00642,97,95,90,68,Mathematics for machine learning
S00643,71,68,95,84,Web Development
S00644,65,67,68,63,AI
S00645,93,67,86,87,Web Development
S00646,92,99,61,63,python
S00647,69,87,98,69,Mathematics for machine learning
S00648,82,67,77,69,python
S00649,93,73,94,99,AI
S00650,98,92,83,77,AI
S00651,75,94,77,74,AI
S00652,76,71,68,89,AI
S00653,100,65,81,90,Web Development
S00654,66,78,78,85,AI
S00655,67,62,67,97,AI
S00656,71,83,97,99,Web Development
S00657,100,92,85,100,AI
S00658,72,65,88,90,Web Development
S00659,100,81,98,76,AI
S00660,73,75,81,79,AI
S00661,66,63,65,97,python
S00662,97,62,77,87,Web Development
S00663,93,93,70,75,AI
S00664,68,62,73,74,python
S00665,80,93,69,77,AI
S00666,69,83,88,66,Web Development
S00667,95,91,85,95,AI
S00668,64,90,96,87,AI
S00669,79,70,86,71,Web Development
S00670,77,89,72,75,AI
S00671,69,65,88,95,python
S00672,94,63,78,61,python
S00673,84,85,63,98,AI
S00674,67,81,82,88,AI
S00675,86,78,83,63,Mathematics for machine learning
S00676,74,99,85,100,AI
S00677,97,68,100,66,python
S00678,81,72,89,98,AI
S00679,74,89,77,76,AI
S00680,64,92,67,79,AI
S00681,84,97,86,98,AI
S00682,78,63,76,98,Mathematics for machine learning
S00683,79,92,81,97,AI
S00684,79,90,99,98,AI
S00685,75,100,84,83,AI
S00686,78,71,91,88,AI
S00687,73,80,65,67,python
S00688,100,69,89,79,Web Development
S00689,87,88,78,96,AI
S00690,71,90,97,60,Mathematics for machine learning
S00691,65,75,70,80,AI
S00692,95,69,77,100,Web Development
S00693,60,94,63,63,python
S00694,94,100,84,63,Mathematics for machine learning
S00695,88,70,75,70,python
S00696,63,86,96,71,AI
S00697,94,63,74,72,Web Development
S00698,65,80,67,87,AI
S00699,85,65,84,68,python
S00700,95,87,98,60,Mathematics for machine learning
S00701,81,80,90,79,AI
S00702,84,61,83,87,Web Development
S00703,96,98,96,63,Mathematics for machine learning
S00704,64,84,86,100,AI
S00705,65,94,69,66,python
S00706,81,91,95,84,AI
S00707,76,92,91,88,AI
S00708,95,93,69,90,AI
S00709,82,63,69,78,Web Development
S00710,99,83,75,71,AI
S00711,62,98,79,64,Mathematics for machine learning
S00712,79,90,82,67,Mathematics for machine learning
S00713,85,93,66,99,AI
S00714,100,63,77,86,Web Development
S00715,69,66,77,92,python
S00716,72,67,89,75,Web Development
S00717,97,93,66,90,AI
S00718,77,66,61,86,Web Development
S00719,85,64,64,74,Web Development
S00720,60,92,85,83,AI
S00721,68,99,68,92,AI
S00722,77,95,78,100,AI
S00723,65,85,74,97,Web Development
S00724,70,76,69,84,AI
S00725,99,69,98,62,python
S00726,85,61,93,87,Web Development
S00727,82,66,70,75,Web Development
S00728,91,88,60,96,AI
S00729,69,96,97,99,AI
S00730,75,79,83,67,Mathematics for machine learning
S00731,77,81,95,75,AI
S00732,98,74,81,78,Web Development
S00733,68,81,63,86,AI
S00734,97,94,62,95,AI
S00735,60,77,93,82,AI
S00736,72,83,90,81,AI
S00737,81,65,80,78,Mathematics for machine learning
S00738,87,79,67,81,AI
S00739,93,68,97,92,Web Development
S00740,71,80,62,76,AI
S00741,71,84,84,98,AI
S00742,81,66,68,84,Web Development
S00743,63,96,62,64,python
S00744,88,93,71,97,Web Development
S00745,75,95,67,91,AI
S00746,60,72,79,85,python
S00747,96,67,98,86,Web Development
S00748,74,74,77,97,AI
S00749,86,69,76,85,Web Development
S00750,99,97,73,65,Mathematics for machine learning
S00751,86,93,62,74,python
S00752,74,94,85,96,python
S00753,86,64,86,92,Web Development
S00754,94,92,66,86,Web Development
S00755,98,93,92,63,Mathematics for machine learning
S00756,65,99,60,90,AI
S00757,80,86,90,73,Mathematics for machine learning
S00758,78,62,61,76,Web Development
S00759,71,72,93,100,AI
S00760,66,77,81,75,Web Development
S00761,92,68,83,98,Web Development
S00762,75,61,78,71,Web Development
S00763,79,97,65,65,python
S00764,83,96,80,91,AI
S00765,86,71,76,69,Mathematics for machine learning
S00766,90,79,98,100,AI
S00767,91,73,95,63,Web Development
S00768,93,95,65,75,AI
S00769,68,87,65,68,python
S00770,74,73,70,71,AI
S00771,98,80,87,74,AI
S00772,66,81,76,85,AI
S00773,91,79,99,90,AI
S00774,82,84,92,86,AI
S00775,79,65,94,88,Web Development
S00776,66,64,61,97,python
S00777,73,88,80,70,Mathematics for machine learning
S00778,64,61,67,94,python
S00779,61,86,81,99,AI
S00780,87,96,94,83,Mathematics for machine learning
S00781,66,71,89,72,AI
S00782,97,100,100,66,Mathematics for machine learning
S00783,64,82,99,85,AI
S00784,71,89,66,80,AI
S00785,73,98,70,79,AI
S00786,81,61,81,100,Web Development
S00787,84,67,99,97,Web Development
S00788,88,100,77,98,AI
S00789,91,96,62,90,AI
S00790,84,73,82,69,Mathematics for machine learning
S00791,80,93,73,100,AI
S00792,71,88,100,90,AI
S00793,90,95,65,60,python
S00794,90,65,62,95,Web Development
S00795,95,87,85,70,AI
S00796,64,62,81,94,python
S00797,93,60,80,63,python
S00798,96,89,75,89,AI
S00799,63,70,79,70,python
S00800,83,100,66,83,AI
S00801,81,66,81,75,Web Development
S00802,68,64,88,99,python
S00803,89,90,99,61,Mathematics for machine learning
S00804,70,64,84,94,python
S00805,85,81,66,71,Mathematics for machine learning
S00806,77,91,63,89,AI
S00807,99,72,81,88,AI
S00808,98,60,82,61,python
S00809,77,68,78,70,python
S00810,66,74,93,95,AI
S00811,61,69,86,100,python
S00812,80,82,78,79,AI
S00813,79,67,73,95,Web Development
S00814,97,61,92,76,Web Development
S00815,84,86,74,97,AI
S00816,66,60,78,97,python
S00817,63,62,65,66,python
S00818,78,99,65,92,AI
S00819,99,83,80,79,AI
S00820,85,72,67,85,AI
S00821,60,68,87,78,python
S00822,80,85,83,77,AI
S00823,93,66,69,72,Web Development
S00824,63,89,69,89,AI
S00825,73,79,100,92,AI
S00826,78,85,89,65,Mathematics for machine learning
S00827,69,78,62,75,AI
S00828,71,73,75,66,Mathematics for machine learning
S00829,72,72,72,100,AI
S00830,63,100,68,80,AI
S00831,68,63,84,60,python
S00832,65,79,71,74,AI
S00833,71,77,89,94,AI
S00834,60,89,75,99,Web Development
S00835,74,85,76,71,AI
S00836,86,72,64,65,python
S00837,69,67,78,86,python
S00838,85,93,60,83,AI
S00839,100,78,99,99,AI
S00840,74,66,70,64,python
S00841,66,90,68,69,python
S00842,67,93,97,97,AI
S00843,93,91,62,78,Web Development
S00844,93,69,83,71,Web Development
S00845,99,83,67,89,AI
S00846,91,74,67,76,AI
S00847,79,90,91,82,AI
S00848,82,81,88,82,AI
S00849,96,70,63,67,python
S00850,66,84,96,76,AI
S00851,63,91,93,68,Mathematics for machine learning
S00852,61,80,77,84,AI
S00853,67,93,99,85,AI
S00854,62,66,61,84,python
S00855,63,100,70,91,AI
S00856,84,78,72,100,AI
